Title,Sheet,TaskNo,Standard,Method,FrequenciesCSV,ImageFile,ImageFolderPath
ใบมีด,เครื่องตัดปลา,1,ไม่แตกหักและไม่เป็นสนิม,เช็ค,W,task01.png,เครื่องตัดปลา
ลูกปืน / อัดจาระบี,เครื่องตัดปลา,2,ไม่หลวมคอนหรือแตกชำรุด,เช็ค/ทำ,W,task02.png,เครื่องตัดปลา
มูเลย์และสายพาน,เครื่องตัดปลา,3,มูลเล่ย์ต้องไม่ชำรุด  สายพานไม่ขาดหรือหย่อน,เช็ค,W,task03.png,เครื่องตัดปลา
มอเตอร์,เครื่องตัดปลา,4,ไม่มีเสียงดัง  และไม่มีกลิ่นไหม้,เช็ค,W,task04.png,เครื่องตัดปลา
เฟืองและโซ่,เครื่องตัดปลา,5,เฟืองไม่แหลมคม   โซ่ ข้อต่อต้องไม่หลวมและไม่หย่อน,เช็ค,W,task05.png,เครื่องตัดปลา
ตู้ควบคุมระบบไฟฟ้า,เครื่องตัดปลา,6,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task06.jpeg,เครื่องตัดปลา
,เครื่องตัดปลา,7,,,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,เครื่องตัดปลา,7,,ทำ,W,,
ลูกปืน / อัดจาระบี,เครื่องตัดปลาชาดีน,1,ลูกปืนต้องไม่แตก ชำรุด,เช็ค,W,task01.jpeg,เครื่องตัดปลาชาดีน
มอเตอร์,เครื่องตัดปลาชาดีน,2,มอเตอร์ต้องไม่มีเสียงดัง,เช็ค,W,task02.jpeg,เครื่องตัดปลาชาดีน
โซ่สายพาน,เครื่องตัดปลาชาดีน,3,ต้องไม่ขาด ชำรุด,เช็ค,W,task03.jpeg,เครื่องตัดปลาชาดีน
ใบมีดตัดปลา,เครื่องตัดปลาชาดีน,4,ต้องไม่หักบิ่น,เช็ค,W,task04.jpeg,เครื่องตัดปลาชาดีน
โซ่-เฟือง,เครื่องตัดปลาชาดีน,5,โซ่ต้องไม่ขาดหรือหย่อน-เฟืองต้องไม่ชำรุด,เช็ค,W,task05.jpeg,เครื่องตัดปลาชาดีน
โครงสร้าง,เครื่องตัดปลาชาดีน,6,ต้องไม่ชำรุด หัก,เช็ค,W,task06.jpeg,เครื่องตัดปลาชาดีน
